"orden","tipo","script","objeto","paquete","procedimiento","log","estado_traza","prioridad","oleada","origen_wrapper","observacion"
"90","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_rvariable.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Llamado interno detectado en distribucion_clientes_rvariable.sql linea 139"
"91","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_pp.sql","distribucion_clientes_pp","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 23"
"92","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_pp.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Llamado interno detectado en distribucion_clientes_pp.sql linea 1677"
"93","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_rfija.sql","distribucion_clientes_rfija","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 24"
"94","DB","/stbybackup/scripts_proc_nocturnos/distribucion_clientes_rfija.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Llamado interno detectado en distribucion_clientes_rfija.sql linea 1131"
"95","DB","/stbybackup/scripts_proc_nocturnos/confirma_participacion_clientes.sql","confirma_participacion_clientes","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 28"
"96","DB","/stbybackup/scripts_proc_nocturnos/confirma_participacion_clientes.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Llamado interno detectado en confirma_participacion_clientes.sql linea 125"
"97","DB","/stbybackup/scripts_proc_nocturnos/verifica_distribucion_clientes.sql","verifica_distribucion_clientes","","","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Referencia @@ detectada en OPERACIONES_DIARIAS.sql linea 30"
"98","DB","/stbybackup/scripts_proc_nocturnos/verifica_distribucion_clientes.sql","P_MAIL.ENVIO_MAIL_ERROR","P_MAIL","ENVIO_MAIL_ERROR","/stbybackup/logs_coeasy_nocturnos/OPERACIONES_DIARIAS.log","pendiente","media","2","OPERACIONES_DIARIAS.sql","Llamado interno detectado en verifica_distribucion_clientes.sql linea 334"
"99","DB","/stbybackup/scripts_proc_nocturnos/costos_lic.sql","costos_lic","","","/stbybackup/logs_coeasy_nocturnos/COSTOS.log","pendiente","media","2","COSTOS.sql","Referencia @@ detectada en COSTOS.sql linea 8"
